DOI,file
10.1021/am200425y,60693b3a-ec41-4f53-9c0d-9f9f8aaa9cd3.pdf
10.1021/am2008147,166a7169-96c2-4f32-90e2-a8be3bddd255.pdf
10.1021/am302631b,244a28fe-c072-4d82-9d29-0935aa2cec40.pdf
10.1021/cs2001434,457d9271-2cc7-43ad-bb6a-7b32dc720c7e.pdf
10.1021/cs300273q,b2dee849-6ed4-4f5a-a718-e34a8dcf60a8.pdf
10.1002/adfm.201202042,b2558d97-ce98-42e2-8c71-934567d4005d.pdf
10.1002/anie.201003270,9cf93399-10cf-49eb-b6df-4866aa678118.pdf
10.1002/anie.201301473,0657bada-5339-4786-9f33-965d93725b35.pdf
10.1016/j.apcata.2005.08.021,61619792-866c-48da-beeb-44266ce54d45.pdf
10.1016/j.apcata.2010.03.059,e12180e4-2b94-4680-8168-32055515aaae.pdf
10.1016/S0926-860X(03)00205-9,cd609538-42ed-42e8-89b1-2a1e7d9ca432.pdf
10.1016/j.apcata.2007.11.022,a8408a7d-918c-465e-8f47-32979d23d98a.pdf
10.1016/S0926-860X(03)00487-3,50d312c8-90ee-45cc-abb9-ef1dbb785e9e.pdf
10.1016/j.apcata.2011.04.032,9a5cd379-aa57-4b99-acd0-5c02efd69403.pdf
10.1016/j.apcata.2012.06.009,01255db5-bfe9-4e60-86e1-3367e4ab0404.pdf
10.1016/j.apcata.2012.04.001,b04a9872-4cd2-4a8b-9a33-7598a808d3aa.pdf
10.1016/j.apcata.2013.01.018,02fb3d69-639e-457b-8ea8-882cc7307415.pdf
10.1016/j.apcata.2011.10.044,b9a36ff9-1379-4e1c-9085-bfbf8e62d242.pdf
10.1016/j.apcata.2013.07.056,9beefd4c-0db6-4acc-a35c-42005f81719b.pdf
10.1016/j.apcata.2013.08.019,b37ae5d3-6d65-4a94-8672-1b512bfbb1d6.pdf
10.1016/j.apcatb.2010.02.030,358670b3-36d0-4075-b09d-3ca950bdf197.pdf
10.1016/j.apcatb.2009.01.010,db56ed46-1ae0-4d70-9e04-7952536fc60f.pdf
10.1016/j.apcatb.2010.08.015,10207474-1a88-4d2a-aa8b-ba2f560833be.pdf
10.1016/S0926-3373(01)00322-8,584e755a-24f2-4e0f-8313-fc78bed7eaa7.pdf
10.1016/S0926-3373(02)00174-1,82911e1c-8f80-4d03-83e5-9dfed8541125.pdf
10.1016/j.apcatb.2010.03.021,774e5426-8cb2-4886-842e-ca0f482730dc.pdf
